dataset,model,scenario,region,variable,unit,year,occurrences,duplicate_values
Sector models shares,GeoMEC_N2 v0.1.0,Unknown,NO02,Final Energy|Residential and Commercial|Heat,GWh,2023,2,"[918.467482010885, 776.936563313246]"
Sector models shares,GeoMEC_N2 v0.1.0,Unknown,NO02,Final Energy|Residential and Commercial|Solids|Biomass,GWh,2023,2,"[807.707652783091, 431.16783268306]"
Sector models shares,GeoMEC_N2 v0.1.0,Unknown,NO02,Final Energy|Transportation|Electricity,GWh,2023,2,"[267.540399212256, 229.302209673775]"
Sector models shares,GeoMEC_N2 v0.1.0,Unknown,NO02,Final Energy|Transportation|Gases|Biomass,GWh,2023,2,"[35.4566893235, 27.3367979516791]"
Sector models shares,GeoMEC_N2 v0.1.0,Unknown,NO02,Final Energy|Transportation|Geothermal,GWh,2023,2,"[0.0, 0.0]"
Sector models shares,GeoMEC_N2 v0.1.0,Unknown,NO02,Final Energy|Transportation|Liquids|Biomass,GWh,2023,3,"[374.629817648499, 7.14285700377337, 288.836319101676]"
Sector models shares,GeoMEC_N2 v0.1.0,Unknown,NO02,Final Energy|Transportation|Solar,GWh,2023,2,"[0.0, 0.0]"
Sector models shares,GeoMEC_N2 v0.1.0,Unknown,NO02,Final Energy|Transportation|Solids|Biomass,GWh,2023,2,"[0.0, 0.0]"
Sector models shares,GeoMEC_N2 v0.1.0,Unknown,NO06,Final Energy|Agriculture|Electricity,GWh,2023,2,"[216.488834732024, 185.186996777545]"
Sector models shares,GeoMEC_N2 v0.1.0,Unknown,NO06,Final Energy|Agriculture|Gases|Biomass,GWh,2023,2,"[0.0, 0.0306835363338643]"
Sector models shares,GeoMEC_N2 v0.1.0,Unknown,NO06,Final Energy|Agriculture|Gases|Gas,GWh,2023,2,"[5.93734220380047, 5.07882261635303]"
Sector models shares,GeoMEC_N2 v0.1.0,Unknown,NO06,Final Energy|Agriculture|Geothermal,GWh,2023,2,"[0.0, 0.0]"
